"index","age_permi","age_veh","genre","stat_matri","categ_socio","usage_veh","age_conduct","type_veh","bonus_malus","mont_recl","garage","source_energ","valeur_veh"
8349,522,4,"Femme","Seul","CSP46","perso",75,"sedan",50,153.808459214501,"aucun","regular",19650.631195455
8943,528,2,"Femme","Autre","CSP50","perso",64,"sedan",50,4468.1746223565,NA,"diesel",29935.0480159862
8631,517,2,"Homme","Autre","CSP50","professionnel",61,"autre minivan",50,485.343806646526,NA,"diesel",32552.892676915
38898,100,6,"Homme","Seul","CSP50","perso",26,"sedan",57,389.198791540785,NA,"diesel",27032.6636334224
95624,451,1,"Homme","Autre","CSP49","professionnel",56,"sedan",50,4541.48519637462,NA,"diesel",38554.4362450877
22488,412,6,"Homme","Autre","CSP55","perso",53,"sedan",50,102.59003021148,NA,"regular",9909.349095825
23672,128,7,"femme","Autre","CSP49","perso + travail",34,"sedan",80,4326.52567975831,NA,"diesel",41338.2688108515
24516,355,10,"Femme","Autre","CSP60","perso + travail",57,"sedan",57,157.543504531722,"aucun","regular",26428.8084477338
58836,310,7,"Femme","Autre","CSP1","perso + travail",45,"sedan",50,461.484290030211,NA,"regular",13823.3919989187
39193,421,7,"Femme","Autre","CSP55","perso + travail",53,"sedan",50,1644.52749244713,"aucun","regular",14018.195310159
106747,385,7,"Femme","Autre","CSP26","perso + travail",50,"sedan",50,288.152265861027,NA,"diesel",30545.9730387998
73720,222,5,"Femme","Seul","CSP55","perso + travail",36,"sedan",50,808.525377643504,NA,"regular",10415.1291163881
60694,99,8,"femme","Seul","CSP50","perso + travail",26,"sedan",85,4326.52567975831,NA,"regular",10736.9478650481
30754,722,4,"Homme","Autre","CSP50","perso",78,"autre minivan",50,956.77250755287,NA,"regular",30159.7749551139
19971,132,7,"Homme","Autre","CSP50","perso + travail",33,"sedan",64,4358.99818731118,NA,"regular",57239.5699587115
37913,284,1,"Femme","Autre","CSP50","perso",49,"minivan",85,2448.38700906344,NA,"regular",24502.697288277
13758,652,7,"Femme","Autre","CSP50","perso",74,"sedan",50,1286.23413897281,NA,"diesel",29177.354685185
50546,257,1,"Homme","Seul","CSP50","perso + travail",40,"sedan",100,4562.1752265861,NA,"regular",15499.9204274993
109679,333,5,"Homme","Autre","CSP50","perso + travail",57,"sedan",58,436.552567975831,NA,"diesel",18780.0220807237
64750,480,6,"Homme","Autre","CSP50","professionnel",58,"sedan",50,331.087613293051,"aucun","regular",21566.9201351451
10279,758,6,"Homme","Autre","CSP26","perso",82,"sedan",50,6280.06042296072,"aucun","regular",39532.708980094
115657,760,1,"Homme","Autre","CSP50","perso",82,"sedan",50,1288.47280966767,NA,"regular",26751.3580236342
17147,296,4,"Femme","Autre","CSP60","voyagement professionel",44,"sedan",50,845.239577039275,NA,"regular",27769.1213767159
46359,144,7,"Femme","Autre","CSP50","perso + travail",32,"sedan",125,1601.29758308157,NA,"regular",32115.4590016576
15346,217,4,"Homme","Seul","CSP50","perso + travail",36,"sedan",95,198.075226586103,NA,"diesel",27084.0276889108
2381,480,4,"Femme","Seul","CSP50","professionnel",58,"sedan",50,298.497280966767,NA,"regular",10889.4583408959
89879,341,10,"Femme","Autre","CSP50","perso + travail",55,"sedan",50,385.722960725075,NA,"diesel",26527.4004355335
11576,560,5,"Homme","Autre","CSP55","perso",82,"sedan",50,469.896978851964,NA,"regular",19639.0484079584
95006,397,6,"Homme","Autre","CSP60","professionnel",59,"van",50,2953.21903323263,NA,"regular",25599.8853716979
48762,416,4,"Homme","Autre","CSP1","professionnel",66,"sedan",50,415.344108761329,"garage communautaire","regular",57399.5379210136
1193,370,2,"Homme","Autre","CSP50","professionnel",58,"sedan",52,1418.61027190332,"garage communautaire","regular",49542.1481677613
69195,616,5,"Homme","Autre","CSP50","perso",69,"coupe",50,22247.0256797583,NA,"regular",29085.9414455445
63168,452,10,"Homme","Autre","CSP1","voyagement professionel",56,"sedan",50,526.653172205438,NA,"diesel",38060.3614598645
27133,375,1,"Homme","Autre","CSP1","voyagement professionel",50,"sedan",50,2119.11389728097,NA,"regular",32738.7832677646
26725,159,7,"Homme","Seul","CSP50","perso + travail",33,"sedan",68,96.6516616314199,"aucun","diesel",19351.1219111258
83300,164,7,"Homme","Seul","CSP50","perso + travail",33,"sedan",64,4520.00574018127,NA,"diesel",19079.3401931499
86534,311,4,"Homme","Autre","CSP1","professionnel",44,"sedan",57,1418.61027190332,NA,"regular",32518.5238984156
77581,393,9,"Femme","Autre","CSP50","perso",51,"sedan",147,3979.55528700906,NA,"regular",32732.8667612607
43863,486,7,"Femme","Autre","CSP50","professionnel",59,"sedan",84,425.60664652568,NA,"regular",21182.3632396678
53802,461,10,"Homme","Autre","CSP50","perso",57,"coupe",50,1077.55468277946,NA,"regular",19033.5017728317
108632,321,1,"Homme","Autre","CSP50","perso + travail",45,"sedan",50,1784.91570996979,NA,"regular",27418.5323149992
43181,221,4,"Homme","Autre","CSP55","perso",39,"minivan",68,13674.0362537764,NA,"regular",33695.9525053914
40629,247,7,"Homme","Seul","CSP50","perso + travail",41,"sedan",50,2618.24320241692,NA,"regular",19636.2108539558
6385,186,5,"Femme","Autre","CSP50","perso + travail",35,"sedan",90,1562.35649546828,NA,"regular",24915.1923611865
48207,440,1,"Femme","Autre","CSP49","professionnel",56,"sedan",50,152.983685800604,"aucun","regular",25655.0390518429
76974,473,4,"Homme","Autre","CSP66","perso + travail",57,"sedan",50,638.138972809668,NA,"regular",32921.7731368848
20063,476,4,"Homme","Seul","CSP50","perso + travail",61,"sedan",80,514.163746223565,NA,"regular",22584.1462880872
63533,522,4,"femme","Autre","CSP50","perso + travail",63,"sedan",74,2163.26283987915,NA,"regular",26923.2512809053
59990,430,2,"Homme","Autre","CSP50","professionnel",54,"van",62,4414.89425981873,NA,"diesel",21551.2190411209
15325,212,7,"Femme","Seul","CSP50","professionnel",36,"minivan",70,180.978851963746,NA,"diesel",31908.234003894
43590,591,7,"femme","Autre","CSP50","professionnel",68,"sedan",50,122.525981873112,NA,"regular",12843.8913517868
44109,627,2,"Homme","Autre","CSP50","perso",71,"sedan",58,1562.35649546828,NA,"regular",24085.9096863047
24623,636,4,"Homme","Autre","CSP50","perso",72,"sedan",72,2271.62628398792,NA,"regular",24385.5377688266
47955,240,1,"Femme","Autre","CSP1","professionnel",39,"sedan",56,94.0477341389728,NA,"regular",19649.3456706018
27714,296,6,"Homme","Autre","CSP50","perso + travail",45,"autre minivan",50,1418.61027190332,NA,"regular",30522.8275826182
41542,173,2,"Homme","Seul","CSP26","perso",33,"sedan",100,7565.3166163142,"garage communautaire","regular",45626.2775546678
38207,296,1,"Homme","Autre","CSP48","perso",43,"minivan",51,3639.99607250755,NA,"diesel",32417.7010511876
35493,339,6,"Femme","Autre","CSP50","perso",52,"sedan",50,10791.6299093656,"aucun","regular",28510.6327183108
27780,283,4,"Femme","Autre","CSP50","perso",44,"station wagon",50,75.9498489425982,NA,"diesel",37578.2821985704
9158,168,1,"Homme","Seul","CSP46","perso",33,"sedan",51,726.236555891238,NA,"regular",16196.5532313485
106488,130,1,"Homme","Seul","CSP50","perso + travail",28,"coupe",90,1227.16858006042,"aucun","regular",7249.31318448979
48761,398,2,"Homme","Autre","CSP46","perso + travail",51,"sedan",50,102.189425981873,NA,"regular",21133.8633204649
11262,589,6,"Homme","Autre","CSP50","perso",71,"sedan",50,227.943806646526,NA,"regular",44801.9990354347
49509,728,5,"Femme","Autre","CSP50","perso",81,"sedan",50,1330.81903323263,NA,"regular",13742.2528219241
16733,464,8,"femme","Autre","CSP50","perso + travail",58,"sedan",90,310.774622356495,NA,"regular",23668.6866133267
16908,578,7,"Homme","Autre","CSP46","perso",75,"autre minivan",50,217.492749244713,NA,"regular",29534.0870163943
129084,87,1,"Femme","Seul","CSP60","perso + travail",26,"sedan",68,3389.11178247734,NA,"diesel",22165.1946917421
26908,103,6,"femme","Autre","CSP48","perso",29,"sedan",90,80.509667673716,NA,"regular",13867.1857836969
98914,161,4,"Homme","Seul","CSP55","professionnel",31,"sedan",51,97.3232628398791,NA,"regular",29316.9243831252
23658,220,2,"Homme","Autre","CSP50","perso + travail",37,"autre minivan",54,97.3232628398791,NA,"regular",29401.9597257993
14667,404,2,"Homme","Autre","CSP55","voyagement professionel",52,"sedan",50,661.22084592145,NA,"diesel",42944.5190958225
105554,350,2,"Homme","Seul","CSP50","perso + travail",56,"sedan",55,91.6087613293051,NA,"regular",23803.4059566855
29868,304,4,"Femme","Seul","CSP50","perso + travail",46,"sedan",50,730.761027190332,NA,"regular",12942.5911825053
26589,507,1,"Femme","Autre","CSP60","perso",73,"sedan",50,14333.5486404834,NA,"regular",25435.7019422013
94070,570,1,"Homme","Autre","CSP50","perso",67,"sedan",50,765.177643504532,NA,"diesel",51334.6111307839
19566,260,6,"Homme","Seul","CSP50","perso + travail",40,"sedan",50,4326.52567975831,NA,"regular",22151.8092071457
16523,244,2,"Homme","Autre","CSP50","perso + travail",38,"sedan",100,1171.29607250755,NA,"regular",19287.2677626709
83572,407,1,"Homme","Autre","CSP26","perso",55,"station wagon",50,500.684592145015,NA,"diesel",30657.6369171897
93045,104,5,"Homme","Seul","CSP50","perso + travail",26,"sedan",68,1134.72326283988,"aucun","diesel",21233.3326244789
132228,409,4,"Homme","Autre","CSP60","professionnel",54,"sedan",50,210.293655589124,NA,"diesel",32681.5381387841
52828,224,5,"Femme","Seul","CSP22","perso + travail",36,"sedan",68,4326.52567975831,NA,"regular",11977.5405582841
65726,315,4,"Homme","Autre","CSP55","perso + travail",60,"station wagon",50,115.609667673716,NA,"diesel",41475.0880681487
3098,438,7,"Homme","Autre","CSP50","perso + travail",54,"sedan",50,206.051963746224,NA,"regular",32362.5977834228
2494,402,5,"Homme","Autre","CSP55","professionnel",52,"vehicule utilitaire sport",50,102.59003021148,NA,"regular",35792.244669903
49336,647,4,"Homme","Autre","CSP50","perso",76,"sedan",50,310.798187311178,"garage prive","regular",7655.62079643114
39593,431,6,"Femme","Autre","CSP50","perso",66,"sedan",50,890.543202416918,NA,"regular",32892.5264694032
8677,282,2,"Homme","Autre","CSP50","perso + travail",42,"autre minivan",50,353.003021148036,"aucun","regular",24011.4599349483
20084,218,5,"Femme","Autre","CSP1","perso + travail",36,"sedan",50,4904.6918429003,NA,"regular",21443.4270752837
89178,333,4,"Homme","Autre","CSP50","perso + travail",46,"minivan",50,451.858006042296,NA,"regular",26573.4898092384
62038,510,7,"Femme","Autre","CSP50","perso + travail",60,"sedan",68,162.904531722054,NA,"regular",12643.138933296
18669,389,2,"Homme","Autre","CSP26","professionnel",50,"coupe",54,1957.57613293051,NA,"regular",40836.5604918383
57666,347,6,"Homme","Autre","CSP50","professionnel",49,"vehicule utilitaire sport",50,1406.09728096677,"garage communautaire","diesel",51007.4673785899
11046,198,2,"Homme","Seul","CSP60","professionnel",34,"autre minivan",75,5250.60181268882,NA,"diesel",45647.4261581634
66416,403,11,"Femme","Seul","CSP55","perso + travail",53,"sedan",69,2764.16918429003,"aucun","regular",8555.14457375779
30319,307,1,"Homme","Autre","CSP50","professionnel",44,"sedan",68,1772.81510574018,NA,"diesel",22057.2504008436
6356,179,4,"Femme","Autre","CSP50","perso",42,"vehicule utilitaire sport",125,1418.61027190332,NA,"regular",32360.421259443
52278,623,2,"Homme","Autre","CSP50","perso",70,"sedan",101,2005.17734138973,"garage communautaire","diesel",35200.6112486105
25494,129,1,"Homme","Autre","CSP26","professionnel",29,"cabriolet",80,412.775528700906,NA,"regular",32038.2920278395
23323,81,7,"Homme","Seul","CSP50","perso + travail",24,"sedan",85,331.41752265861,NA,"regular",19324.3099501872
9727,435,10,"Femme","Autre","CSP55","perso + travail",55,"sedan",50,2163.26283987915,NA,"regular",33526.9029169637
28345,314,4,"Homme","Autre","CSP50","professionnel",44,"sedan",50,24043.3232628399,"aucun","regular",29227.8266395926
23437,820,10,"Homme","Autre","CSP50","perso",86,"sedan",76,2858.92386706949,NA,"regular",16470.9355053385
17448,537,1,"Femme","Autre","CSP50","perso + travail",63,"sedan",95,19.5471299093656,NA,"regular",21788.2319280192
4258,125,6,"Femme","Seul","CSP66","perso + travail",33,"sedan",80,173.579456193353,NA,"regular",10927.0820001428
65236,421,5,"Homme","Autre","CSP50","perso + travail",57,"sedan",95,856.008761329305,"aucun","regular",16613.9336671807
7174,197,1,"Homme","Autre","CSP50","perso + travail",34,"station wagon",50,997.033232628399,NA,"regular",43627.4226836016
49504,95,2,"Homme","Autre","CSP60","perso",25,"sedan",95,730.513595166163,"aucun","regular",29880.7925142036
8209,199,5,"Homme","Autre","CSP50","perso + travail",54,"sedan",72,3991.72658610272,"aucun","diesel",29201.6243266167
7072,654,7,"Homme","Autre","CSP26","perso",83,"sedan",50,1562.35649546828,NA,"regular",34955.2202738722
23838,561,7,"Homme","Autre","CSP50","professionnel",66,"sedan",88,1418.61027190332,NA,"regular",37986.7091334665
87949,232,7,"Femme","Autre","CSP50","perso + travail",50,"sedan",50,2764.16918429003,NA,"diesel",13365.7014632195
55353,421,4,"Homme","Autre","CSP55","perso",78,"sedan",50,1537.94320241692,NA,"diesel",41215.322584667
29644,456,1,"Homme","Autre","CSP60","perso",67,"sedan",50,1068.14048338369,NA,"diesel",49517.4426501479
25402,134,1,"Homme","Autre","CSP50","professionnel",29,"autre minivan",76,100.846223564955,NA,"diesel",35186.5260084465
20608,303,2,"Homme","Autre","CSP66","professionnel",43,"station wagon",51,446.532326283988,NA,"diesel",34141.0105541373
72907,494,1,"Femme","Autre","CSP50","perso",60,"sedan",50,569.529607250755,NA,"diesel",48320.6918389273
17174,287,4,"Homme","Autre","CSP50","perso + travail",51,"autre minivan",50,4326.52567975831,NA,"diesel",41265.1070967313
17424,425,2,"Homme","Autre","CSP50","professionnel",57,"coupe",63,1418.61027190332,NA,"regular",65892.0268279204
100953,248,1,"Femme","Autre","CSP46","perso",39,"autre minivan",54,553.670392749245,NA,"regular",29110.4117498941
82598,252,1,"Femme","Autre","CSP60","perso",40,"autre minivan",54,1536.17583081571,NA,"regular",32940.6898412656
18913,258,1,"Femme","Autre","CSP50","perso",40,"autre minivan",51,1027.78549848943,NA,"regular",32600.6652237743
